master_row_id,collection_method,record_kind,source_dir,project_slug,owner_repo,case_key,ok,trajectory_classification,project_attempt_classification,run_dir,executions_path,edge_direction,source_block,source_order,source_rank,source_lines,target_block,target_order,target_rank,target_lines,skipped_blocks,event_segment,event_first_phase,failed_phases,checkpoint_before_target,hint,edge_summary,covered_by_final_checkpoint_graph_scan,notes,generated_at_utc
16,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,projects-repo2run,instructlab,,instructlab,False,failed_in_project_run,failed_in_project_run,projects-repo2run/instructlab/.pheragent/runs/repo2run-gpt-4o-20241120-instructlab,projects-repo2run/instructlab/.pheragent/runs/repo2run-gpt-4o-20241120-instructlab/executions.jsonl,baseline_checkpoint_dependency,20-python-runtime,,,,30-python-deps,30,,,50-test-tooling,,,,pheragent:repo2run-gpt-4o-20241120-instructlab-42f3f38cda80-003-20-python-runtime-success,block failed: 30-python-deps,BASE->00-preflight | 00-preflight->20-python-runtime:previous | 20-python-runtime->30-python-deps:non_adjacent(skip=50-test-tooling),yes,input_marked_non_adjacent_but_recomputed_previous_only,2026-06-26T16:02:13.205523+00:00
17,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,reactivex-rxjava,ReactiveX/RxJava,ReactiveX/RxJava@6b28009fd08563eed648334d3d030acdd12818d3,True,succeeded_after_internal_repair,one_project_attempt_success,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava/executions.jsonl,execution_time_backjump,20-java-runtime,20,3,6-7,00-preflight,0,1,8-10,01-java-deps,1,llm_probe,validation#1=127,pheragent-executionagent-gpt4o:executionagent-gpt4o-rxjava-067877599e8d-001-base-workspace,/tmp/pheragent/blocks/20-java-runtime.sh: 31: java: not found ERROR: JAVA_HOME is not set and no 'java' command could be found in your PATH. Please set the JAVA_HOME variable in your environment to match the location of your Java install...,20-java-runtime[3/20]->00-preflight[1/0] skip=01-java-deps lines=6-7->8-10,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
18,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,msgpack-msgpack-c,msgpack/msgpack-c,msgpack/msgpack-c@b0d379a6f29af7dd65423ff78a94de8948f01bd8,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c/executions.jsonl,execution_time_backjump,20-native-build-config,20,3,8-9,00-preflight,0,1,10-20,10-system-packages,1,llm_probe,block#1=1 | validation#1=1,pheragent-executionagent-gpt4o:executionagent-gpt4o-msgpack-c-718ee62d5bd8-001-base-workspace,"CMake Warning: Ignoring extra path from command line: ""."" CMake Error: The source directory ""/workspace/repo"" does not appear to contain CMakeLists.txt. Specify --help for usage, or press the help button on the CMake GUI.",20-native-build-config[3/20]->00-preflight[1/0] skip=10-system-packages lines=8-9->10-20,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
19,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,facebook-react-native,facebook/react-native,facebook/react-native@0fabe263ccfae250695a0e96fe4ae924da82b533,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native/executions.jsonl,execution_time_backjump,21-java-runtime,21,4,12-13,10-system-packages,10,2,14-24,20-node-runtime,1,llm_probe,validation#1=127,pheragent-executionagent-gpt4o:executionagent-gpt4o-react-native-72b53bb70f61-002-00-preflight-success,/tmp/pheragent/blocks/21-java-runtime.sh: 31: java: not found,21-java-runtime[4/21]->10-system-packages[2/10] skip=20-node-runtime lines=12-13->14-24,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
20,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,facebook-react-native,facebook/react-native,facebook/react-native@0fabe263ccfae250695a0e96fe4ae924da82b533,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native/executions.jsonl,execution_time_backjump,21-java-runtime,21,4,60-61,10-system-packages,10,2,62-72,20-node-runtime,2,llm_probe,validation#1=127,pheragent-executionagent-gpt4o:executionagent-gpt4o-react-native-3d8c9fd9f08b-002-00-preflight-success,/tmp/pheragent/blocks/21-java-runtime.sh: 31: java: not found,21-java-runtime[4/21]->10-system-packages[2/10] skip=20-node-runtime lines=60-61->62-72,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
21,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,spring-projects-spring-security,spring-projects/spring-security,spring-projects/spring-security@0d5f42f8529c1e56886e91616b6ca7d30f15c65e,True,clean_one_shot_success,one_project_attempt_success,executionagent-runs-gpt4o/state/spring-projects-spring-security/spring-security/runs/executionagent-gpt4o-spring-security,executionagent-runs-gpt4o/state/spring-projects-spring-security/spring-security/runs/executionagent-gpt4o-spring-security/executions.jsonl,execution_time_backjump,20-java-runtime,20,3,6-7,00-preflight,0,1,8-10,10-system-packages,1,llm_probe,validation#1=127,pheragent-executionagent-gpt4o:executionagent-gpt4o-spring-security-d18dc3408331-001-base-workspace,/tmp/pheragent/blocks/20-java-runtime.sh: 31: java: not found ERROR: JAVA_HOME is not set and no 'java' command could be found in your PATH. Please set the JAVA_HOME variable in your environment to match the location of your Java install...,20-java-runtime[3/20]->00-preflight[1/0] skip=10-system-packages lines=6-7->8-10,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
22,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,mybatis-mybatis-3,mybatis/mybatis-3,mybatis/mybatis-3@58e2d5e9b0359116ebdc7ea2ea0a88d55545d4e2,True,succeeded_after_internal_repair,one_project_attempt_success,executionagent-runs-gpt4o/state/mybatis-mybatis-3/mybatis-3/runs/executionagent-gpt4o-mybatis-3,executionagent-runs-gpt4o/state/mybatis-mybatis-3/mybatis-3/runs/executionagent-gpt4o-mybatis-3/executions.jsonl,execution_time_backjump,20-java-runtime,20,3,6-7,00-preflight,0,1,8-18,01-java-deps,1,llm_probe,validation#1=127,pheragent-executionagent-gpt4o:executionagent-gpt4o-mybatis-3-963c9f12fc65-001-base-workspace,/tmp/pheragent/blocks/20-java-runtime.sh: 31: java: not found /tmp/pheragent/blocks/20-java-runtime.sh: 32: mvn: not found,20-java-runtime[3/20]->00-preflight[1/0] skip=01-java-deps lines=6-7->8-18,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
23,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,python-cpython,python/cpython,python/cpython@1eddef81930ad9f7e2f411f153c35af16a6edf14,True,succeeded_after_internal_repair,one_project_attempt_success,executionagent-runs-gpt4o/state/python-cpython/cpython/runs/executionagent-gpt4o-cpython,executionagent-runs-gpt4o/state/python-cpython/cpython/runs/executionagent-gpt4o-cpython/executions.jsonl,execution_time_backjump,30-project-dependencies,30,5,56-57,10-system-packages,10,2,58-68,20-python-runtime;20-runtime-toolchain,2,llm_probe,block#1=1 | validation#1=1,pheragent-executionagent-gpt4o:executionagent-gpt4o-cpython-69f8e79d2a8d-002-00-preflight-success,"error: externally-managed-environment × This environment is externally managed ╰─> To install Python packages system-wide, try apt install python3-xyz, where xyz is the package you are trying to install. If you wish to install a non-Debi...",30-project-dependencies[5/30]->10-system-packages[2/10] skip=20-python-runtime;20-runtime-toolchain lines=56-57->58-68,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
24,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,installamatic-runs,nonebot-nonebot2,nonebot/nonebot2,nonebot/nonebot2@be4f360,True,succeeded_after_internal_repair,one_project_attempt_success,installamatic-runs/state/nonebot-nonebot2/nonebot2/runs/installamatic-nonebot2,installamatic-runs/state/nonebot-nonebot2/nonebot2/runs/installamatic-nonebot2/executions.jsonl,execution_time_backjump,50-test-tooling,50,7,21-22,30-python-deps,30,5,23-33,31-node-deps,1,llm_probe,validation#1=4,pheragent-installamatic:installamatic-nonebot2-e473921e5767-005-21-node-runtime-success,[pheragent] preparing python test tooling [pheragent] preparing node test tooling v18.19.1 9.2.0,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
25,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,installamatic-runs,sciphi-ai-r2r,SciPhi-AI/R2R,SciPhi-AI/R2R@712defb,False,failed_in_project_run,failed_in_project_run,installamatic-runs/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r,installamatic-runs/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r/executions.jsonl,execution_time_backjump,50-test-tooling,50,5,28-29,20-python-runtime,20,3,30-40,30-project-dependencies,1,llm_probe,validation#1=127,pheragent-installamatic:installamatic-r2r-316da1e37621-004-10-system-packages-repaired,/tmp/pheragent/blocks/50-test-tooling.sh: 31: pytest: not found,50-test-tooling[5/50]->20-python-runtime[3/20] skip=30-project-dependencies lines=28-29->30-40,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
26,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,setupbench-runs-all-gpt-5.4-multiblock,habitat-sh-habitat,habitat-sh/habitat,habitat-sh/habitat@5826ff8e54da8985c2aa66b894aa962c4cd5d09b,True,succeeded_after_internal_repair,one_project_attempt_success,setupbench-runs-all-gpt-5.4-multiblock/state/habitat-sh-habitat/habitat/runs/setupbench-habitat,setupbench-runs-all-gpt-5.4-multiblock/state/habitat-sh-habitat/habitat/runs/setupbench-habitat/executions.jsonl,execution_time_backjump,50-test-tooling,50,5,15-16,10-system-packages,10,2,17-21,20-rust-runtime;30-project-dependencies,1,llm_repair,block#1=101 | validation#1=127,pheragent-setupbench:setupbench-habitat-b139753dcc27-002-00-preflight-success,Compiling proc-macro2 v1.0.93 Compiling unicode-ident v1.0.16 Compiling libc v0.2.171 Compiling cfg-if v1.0.0 Compiling serde v1.0.218 Compiling memchr v2.7.4 Compiling shlex v1.3.0 Compiling autocfg v1.4.0 Compiling hashbrown v0.15.2 Co...,50-test-tooling[5/50]->10-system-packages[2/10] skip=20-rust-runtime;30-project-dependencies lines=15-16->17-21,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
27,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,setupbench-runs-all-gpt-5.4-multiblock,apache-cassandra,apache/cassandra,apache/cassandra@73cd2c56ca07fc4bd1c77a7a45e1d6e27941fefa,True,succeeded_after_internal_repair,one_project_attempt_success,setupbench-runs-all-gpt-5.4-multiblock/state/apache-cassandra/cassandra/runs/setupbench-cassandra,setupbench-runs-all-gpt-5.4-multiblock/state/apache-cassandra/cassandra/runs/setupbench-cassandra/executions.jsonl,execution_time_backjump,50-test-tooling,50,6,52-53,30-project-dependencies,30,4,54-62,40-native-build-config,1,llm_repair,block#1=1 | validation#1=1,pheragent-setupbench:setupbench-cassandra-7bf452af301e-004-20-runtime-toolchain-success,"--- raw_llm_response --- {""repairs"":[{""title"":""sanitize pylib requirements and build Cassandra jars/tools"",""command"":""cd /workspace/repo && . /workspace/repo/.venv/bin/activate && awk 'BEGIN{driver=0} /^-e[[:space:]]+git\\+https:\\/\\/gi...",50-test-tooling[6/50]->30-project-dependencies[4/30] skip=40-native-build-config lines=52-53->54-62,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
28,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,projects-repo2run,denser-retriever,,denser-retriever,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/denser-retriever/.pheragent/runs/repo2run-gpt-4o-20241120-denser-retriever,projects-repo2run/denser-retriever/.pheragent/runs/repo2run-gpt-4o-20241120-denser-retriever/executions.jsonl,execution_time_backjump,50-test-tooling,50,7,21-22,30-python-deps,30,5,23-33,31-node-deps,1,llm_probe,validation#1=2,pheragent:repo2run-gpt-4o-20241120-denser-retriever-4f0d59e79091-005-21-node-runtime-success,[pheragent] preparing python test tooling [pheragent] preparing node test tooling v18.19.1 9.2.0,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
29,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,projects-repo2run,DTrOCR,,DTrOCR,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/DTrOCR/.pheragent/runs/repo2run-gpt-4o-20241120-dtrocr,projects-repo2run/DTrOCR/.pheragent/runs/repo2run-gpt-4o-20241120-dtrocr/executions.jsonl,execution_time_backjump,50-test-tooling,50,4,5-6,00-preflight,0,1,7-9,20-python-runtime;30-python-deps,1,block,llm_repair#1=1,pheragent:repo2run-gpt-4o-20241120-dtrocr-e0a0fe0ffc4b-001-base-workspace,"--- raw_llm_response --- { ""probes"": [] } --- parse_diagnostics --- probes list is empty",50-test-tooling[4/50]->00-preflight[1/0] skip=20-python-runtime;30-python-deps lines=5-6->7-9,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
30,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,projects-repo2run,DTrOCR,,DTrOCR,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/DTrOCR/.pheragent/runs/repo2run-gpt-4o-20241120-dtrocr,projects-repo2run/DTrOCR/.pheragent/runs/repo2run-gpt-4o-20241120-dtrocr/executions.jsonl,execution_time_backjump,50-test-tooling,50,4,10-10,20-python-runtime,20,2,11-14,30-python-deps,1,block,,pheragent:repo2run-gpt-4o-20241120-dtrocr-9013698b6c96-002-00-preflight-success,"--- raw_llm_response --- { ""repairs"": [ { ""title"": ""Ensure isolated Python environment usability for pytest"", ""command"": "".venv/bin/python -m pip install pytest && .venv/bin/python -m pytest --version"", ""patch_script"": ""set -eu\n.venv/bi...",50-test-tooling[4/50]->20-python-runtime[2/20] skip=30-python-deps lines=10-10->11-14,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
31,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,projects-repo2run,Verbiverse,,Verbiverse,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/Verbiverse/.pheragent/runs/repo2run-gpt-4o-20241120-verbiverse,projects-repo2run/Verbiverse/.pheragent/runs/repo2run-gpt-4o-20241120-verbiverse/executions.jsonl,execution_time_backjump,50-test-tooling,50,4,12-13,20-python-runtime,20,2,14-24,30-python-deps,1,llm_probe,validation#1=2,pheragent:repo2run-gpt-4o-20241120-verbiverse-07d825368509-002-00-preflight-success,[pheragent] preparing python test tooling,50-test-tooling[4/50]->20-python-runtime[2/20] skip=30-python-deps lines=12-13->14-24,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
32,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,projects-repo2run,fastagency,,fastagency,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/fastagency/.pheragent/runs/repo2run-gpt-4o-20241120-fastagency,projects-repo2run/fastagency/.pheragent/runs/repo2run-gpt-4o-20241120-fastagency/executions.jsonl,execution_time_backjump,50-test-tooling,50,7,21-22,30-python-deps,30,5,23-33,31-node-deps,1,llm_probe,validation#1=4,pheragent:repo2run-gpt-4o-20241120-fastagency-96648a303212-005-21-node-runtime-success,[pheragent] preparing python test tooling [pheragent] preparing node test tooling v18.19.1 9.2.0,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
33,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,projects-repo2run,VideoFusion,,VideoFusion,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/VideoFusion/.pheragent/runs/repo2run-gpt-4o-20241120-videofusion,projects-repo2run/VideoFusion/.pheragent/runs/repo2run-gpt-4o-20241120-videofusion/executions.jsonl,execution_time_backjump,30-python-deps,30,5,15-16,20-python-runtime,20,3,17-35,21-node-runtime,1,llm_probe,block#1=1,pheragent:repo2run-gpt-4o-20241120-videofusion-798dd62ce544-003-10-system-packages-success,error: subprocess-exited-with-error × Building wheel for diffq (pyproject.toml) did not run successfully. │ exit code: 1 ╰─> [31 lines of output] running bdist_wheel running build running build_py creating build/lib.linux-x86_64-cpython-...,30-python-deps[5/30]->20-python-runtime[3/20] skip=21-node-runtime lines=15-16->17-35,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
34,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,projects-repo2run,VideoFusion,,VideoFusion,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/VideoFusion/.pheragent/runs/repo2run-gpt-4o-20241120-videofusion,projects-repo2run/VideoFusion/.pheragent/runs/repo2run-gpt-4o-20241120-videofusion/executions.jsonl,execution_time_backjump,50-test-tooling,50,7,57-58,10-system-packages,10,2,59-92,20-python-runtime;21-node-runtime;30-python-deps;31-node-deps,1,llm_probe,validation#1=2,pheragent:repo2run-gpt-4o-20241120-videofusion-e859976f2087-002-00-preflight-success,[pheragent] preparing python test tooling [pheragent] preparing node test tooling v18.19.1 9.2.0 9.15.9,50-test-tooling[7/50]->10-system-packages[2/10] skip=20-python-runtime;21-node-runtime;30-python-deps;31-node-deps lines=57-58->59-92,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
35,executions_jsonl_runtime_timeline,runtime_execution_backjump_non_adjacent,projects-repo2run,cogvideox-factory,,cogvideox-factory,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/cogvideox-factory/.pheragent/runs/repo2run-gpt-4o-20241120-cogvideox-factory,projects-repo2run/cogvideox-factory/.pheragent/runs/repo2run-gpt-4o-20241120-cogvideox-factory/executions.jsonl,execution_time_backjump,50-test-tooling,50,4,4-4,00-preflight,0,1,5-7,20-python-runtime;30-python-deps,1,block,validation#6=2,pheragent:repo2run-gpt-4o-20241120-cogvideox-factory-c210752e0983-001-base-workspace,tests/test_dataset.py::test_video_dataset tests/test_dataset.py::test_video_dataset_with_resizing tests/test_dataset.py::test_video_dataset_with_bucket_sampler ==================================== ERRORS =================================...,50-test-tooling[4/50]->00-preflight[1/0] skip=20-python-runtime;30-python-deps lines=4-4->5-7,no,missed_by_final_checkpoint_graph,2026-06-26T16:02:13.205523+00:00
